Name,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,ISIS,"Isis Pharmaceuticals, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,EL,The Est (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,PANW,"Palo Alto Networks, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Self,VZ,Verizon Communications Inc. (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Joint,CY,Cypress Semiconductor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/21/2014,Spouse,HYT,Blackrock Corporate High Yield (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/27/2014,Child,ETN,Eaton Corporation plc (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/16/2014,Child,SLB,Schlumberger Limited (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Child,CY,Cypress Semiconductor Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Child,CVS,CVS Caremark Corporation (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/18/2014,Child,BMY,Bristol-Myers Squibb Company (NYSE),,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/27/2014,Joint,ESS,Essex Property Trust Inc. (NYSE),,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",08/27/2014,Joint,HON,Honeywell International Inc. (NYSE),,Sale (Partial),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/03/2014,Joint,NOV,"National Oilwell Varco, Inc. (NYSE)",,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/03/2014,Joint,SLB,Schlumberger Limited (NYSE),,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",09/16/2014,Joint,NEE,"NextEra Energy, Inc. (NYSE)",,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/07/2016,Self,IBM,International Business Machines Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/24/2016,Self,TWTR,"Twitter, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/24/2016,Self,FB,"Facebook, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/24/2016,Self,CMCSA,Comcast Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/24/2016,Self,REGN,"Regeneron Pharmaceuticals, Inc.",Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/18/2016,Self,CERN,Cerner Corporation,Stock,Sale (Full),"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/18/2016,Self,DEO,Diageo plc,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/18/2016,Self,NWL,Newell Brands Inc.,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/17/2016,Self,VFC,V.F. Corporation,Stock,Sale (Full),"$15,001 - $50,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/07/2016,Child,SBUX,Starbucks Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",05/18/2016,Child,NVDA,NVIDIA Corporation,Stock,Purchase,"$1,001 - $15,000",--
"The Honorable Sheldon Whitehouse (Whitehouse, Sheldon)",06/07/2016,Joint,IBM,International Business Machines Corporation,Stock,Purchase,"$15,001 - $50,000",--
